E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,0,0,87.5,84.04255319,100,50,63.80952381,100,100,100,66.66666667,100,100,100
27.36842105,100,0,27.92792793,0,0,100,100,0,100,100,100,66.66666667,100,100,100
0,100,0,0,0,52.88461538,66.07142857,84.21052632,40.38461538,100,82.82828283,100,0,100,100,100
0,100,76.47058824,93.33333333,0,44.73684211,100,100,5.940594059,100,100,100,0,100,100,100
75,100,50.64935065,87.5,0,25,100,100,0,100,100,100,83.33333333,100,100,100
0,100,65.09433962,0,80,0,100,100,0,100,100,75,0,100,100,100
0,100,0,65.26315789,41.17647059,42,100,0,87.5,100,100,100,60,100,100,100
78.5046729,100,32.74336283,37.14285714,0,0,73.19587629,47.19101124,0,100,100,80,100,0,100,100
0,100,0,0,27.5862069,0,100,75,0,100,50,100,60,100,100,100
3.703703704,100,0,0,0,0,46.53465347,100,0,100,50,100,66.66666667,87.5,100,100
5.194805195,100,26.82926829,87.5,51.45631068,0,100,100,12.08791209,100,44.44444444,100,66.66666667,80,100,100
0,100,0,20,93.75,62.5,100,65.78947368,0,100,69.47368421,0,0,85.71428571,100,100
0,100,0,5.607476636,0,0,100,100,77.21518987,100,50,100,0,100,50,100
80.70175439,100,63.7254902,66.32653061,0,75.22123894,100,0,75,100,100,100,71.42857143,0,100,100
0,100,0,0,63.41463415,80,50,73.56321839,72.22222222,100,50,100,85.71428571,0,100,100
0,100,0,0,0,73.58490566,100,100,65.81196581,100,100,85.71428571,0,100,100,100
0,100,49.48453608,0,0,50,100,100,0,100,100,80,87.5,100,100,100
82.9787234,100,0,80.68181818,25,0,100,55.43478261,58.75,100,64.44444444,0,60,83.33333333,100,100
25,100,0,0,24.27184466,0,100,100,0,100,17.70833333,80,60,85.71428571,100,100
0,100,0,0,0,0,100,62.5,0,100,100,100,85.71428571,100,100,100
40,100,0,0,0,0,100,75,85.71428571,100,78.21782178,100,0,100,100,100
